id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
East Harlem North, 0.04961719, 0.066248  , 0.07844378, 0.08567268, 0.03538089, 0.0056148 ,  0.01332222, 0.00458265,-0.01428261,-0.02188874,-0.01388064, 0.00546536,  0.02646951, 0.07239247, 0.08057605, 0.10187526, 0.07666386, 0.06078843,  0.02232905, 0.01835153, 0.02551525, 0.03285538, 0.03159479, 0.04340844
East Harlem South,  8.16151070e-02,  9.26714903e-02,  1.00956668e-01,  9.83449620e-02,   3.90080870e-02, -1.15028591e-02,  3.94402862e-02,  1.96935700e-02,   1.96033317e-03, -6.45568163e-04,  7.41755276e-03, -1.92956769e-02,  -2.06529553e-02,  6.29714022e-02,  2.00602610e-06, -1.38403410e-01,  -1.61120799e-01, -1.15203482e-01, -3.21817438e-02,  1.16711352e-03,   3.06527213e-02,  5.59085153e-02,  6.18057180e-02,  6.74029237e-02
East New York, 0.00888424, 0.0111283 , 0.01214314, 0.01319948, 0.00695151, 0.00333461,  0.00175617, 0.00140161, 0.00153983, 0.00265979, 0.00474324, 0.00732016,  0.01660439, 0.02636586, 0.02053168, 0.01751647, 0.01005223, 0.00828458,  0.00621228, 0.00441961, 0.00326095, 0.00359921, 0.00415559, 0.00548899
East New York (Pennsylvania Ave), 0.00290814, 0.00380866, 0.00474201, 0.00489167, 0.00311424, 0.00150829,  0.00058251, 0.00025459, 0.00034195, 0.00062123, 0.00164667, 0.00233609,  0.00546636, 0.0076316 , 0.00820264, 0.00445373, 0.00439692, 0.00312279,  0.00279103, 0.00172233, 0.0015861 , 0.0016912 , 0.00141672, 0.00182707
East Tremont,  3.04319609e-03,  3.65499079e-03,  3.45017503e-03,  6.02107229e-03,   2.73611720e-03,  1.74603861e-03,  8.06544342e-04,  4.82377947e-04,   1.73746208e-04, -7.25871418e-05,  1.23922580e-03,  3.33745924e-03,   7.22885908e-03,  1.04723011e-02,  8.48348439e-03,  6.32795241e-03,   4.53451556e-03,  3.14204939e-03,  1.46613581e-03,  1.01631291e-03,   1.36564937e-03,  1.49161622e-03,  1.47735706e-03,  2.23831886e-03
East Village,-0.18749248,-0.25548445,-0.33305891,-0.39914738,-0.28790179,-0.18834214, -0.11443596,-0.07964825,-0.06910537,-0.17924804,-0.26892553,-0.17942312, -0.1887027 ,-0.33990526,-0.19861063,-0.09289207, 0.03788849, 0.17577302,  0.25304539, 0.22034552, 0.12914912,-0.00375342,-0.08645444,-0.14433215
East Williamsburg, 0.05816894, 0.05765855, 0.05540609, 0.03241847, 0.02246863, 0.00570126,  0.00283286, 0.00093595, 0.00091247, 0.00168923, 0.00972887, 0.01620728,  0.03976172, 0.07077435, 0.0673764 , 0.05079806, 0.03711793, 0.04002572,  0.03324127, 0.02606292, 0.02364415, 0.03493902, 0.03944756, 0.04654118
Eastchester-Edenwald-Baychester, 0.00166373, 0.00219106, 0.00211797, 0.00196288, 0.0008735 , 0.00084909,  0.00023142, 0.00026668, 0.00029649, 0.00069529, 0.00140961, 0.00186955,  0.00505021, 0.00795522, 0.00736011, 0.00477557, 0.00461707, 0.00291092,  0.00195808, 0.00128364, 0.0009839 , 0.00091948, 0.00120448, 0.00135837
Elmhurst,-0.01360691,-0.01724439,-0.01865901,-0.06026913,-0.06753907,-0.02025621, -0.00318924,-0.0028942 ,-0.00326532,-0.00523331,-0.01347319,-0.03470305, -0.09531453,-0.17683442,-0.21189453,-0.16761472,-0.15267223,-0.12773237, -0.08248865,-0.05517405,-0.04257571,-0.03930842,-0.02319519,-0.01677281
Elmhurst-Maspeth, 0.01501468, 0.02115742, 0.02888314, 0.0274223 , 0.01427593,-0.00174449, -0.00014643, 0.00086338, 0.00153301, 0.00212579, 0.00478028, 0.00640983,  0.01790179, 0.04233134, 0.03712954, 0.03180976, 0.02331677, 0.02032233,  0.01333429, 0.00928293, 0.0081027 , 0.00897198, 0.00885007, 0.01157001
